burst_size_DIP,replicate_id,seed,peak_IFN,t_peak_IFN,scenario
1000,1,-1,0.245297,109,baseline
1000,1,-1,0.347529,108,baseline
1000,1,-1,0.200575,305,baseline
1000,1,-1,0.291517,88,baseline
1000,1,-1,0.374368,127,baseline
1000,1,-1,0.355073,149,baseline
1000,1,-1,0.226456,98,baseline
1000,1,-1,0.32441,110,baseline
1000,1,-1,0.293421,97,baseline
1000,1,-1,0.271096,70,baseline
1000,1,-1,0.303635,156,baseline
1000,1,-1,0.301003,103,baseline
1000,1,-1,0.22284,118,baseline
1000,1,-1,0.292996,100,baseline
1000,1,-1,0.285002,135,baseline
1000,1,-1,0.256067,123,baseline
1000,1,-1,0.248255,91,baseline
1000,1,-1,0.299857,180,baseline
1000,1,-1,0.278092,103,baseline
1000,1,-1,0.258885,100,baseline
1000,1,-1,0.288722,108,baseline
1000,1,-1,0.248715,97,baseline
1000,1,-1,0.245275,114,baseline
1000,1,-1,0.23425,92,baseline
1000,1,-1,0.308437,131,baseline
1000,1,-1,0.312009,156,baseline
1000,1,-1,0.281196,131,baseline
1000,1,-1,0.261509,103,baseline
1100,1,-1,0.231421,103,baseline
1100,1,-1,0.306176,126,baseline
1100,1,-1,0.227291,159,baseline
1100,1,-1,0.233784,101,baseline
1100,1,-1,0.271361,90,baseline
1100,1,-1,0.244079,113,baseline
1100,1,-1,0.297459,100,baseline
1100,1,-1,0.291966,155,baseline
1100,1,-1,0.349463,187,baseline
1100,1,-1,0.322423,125,baseline
1100,1,-1,0.311553,104,baseline
1100,1,-1,0.293287,185,baseline
1100,1,-1,0.226866,83,baseline
1100,1,-1,0.282532,98,baseline
1100,1,-1,0.251914,102,baseline
1100,1,-1,0.247746,92,baseline
1100,1,-1,0.244501,125,baseline
1100,1,-1,0.250047,139,baseline
1100,1,-1,0.24969,249,baseline
1100,1,-1,0.285239,104,baseline
1100,1,-1,0.285489,152,baseline
1100,1,-1,0.241022,119,baseline
1100,1,-1,0.260264,120,baseline
1100,1,-1,0.272351,75,baseline
1100,1,-1,0.271487,126,baseline
1100,1,-1,0.310448,102,baseline
1100,1,-1,0.33412,105,baseline
1100,1,-1,0.240655,103,baseline
1100,1,-1,0.34742,157,baseline
1100,1,-1,0.364256,105,baseline
1200,1,-1,0.234705,217,baseline
1200,1,-1,0.206554,108,baseline
1200,1,-1,0.214952,93,baseline
1200,1,-1,0.236745,103,baseline
1200,1,-1,0.209251,133,baseline
1200,1,-1,0.357834,110,baseline
